sample-id,forward-absolute-filepath,reverse-absolute-filepath
SRR12714143,/AbsolutePath/data/raw/SRR12714143_1.fastq.gz,/AbsolutePath/data/raw/SRR12714143_2.fastq.gz
SRR12714147,/AbsolutePath/data/raw/SRR12714147_1.fastq.gz,/AbsolutePath/data/raw/SRR12714147_2.fastq.gz
SRR12714128,/AbsolutePath/data/raw/SRR12714128_1.fastq.gz,/AbsolutePath/data/raw/SRR12714128_2.fastq.gz
SRR12714131,/AbsolutePath/data/raw/SRR12714131_1.fastq.gz,/AbsolutePath/data/raw/SRR12714131_2.fastq.gz
SRR12714132,/AbsolutePath/data/raw/SRR12714132_1.fastq.gz,/AbsolutePath/data/raw/SRR12714132_2.fastq.gz
SRR12714136,/AbsolutePath/data/raw/SRR12714136_1.fastq.gz,/AbsolutePath/data/raw/SRR12714136_2.fastq.gz
SRR12714139,/AbsolutePath/data/raw/SRR12714139_1.fastq.gz,/AbsolutePath/data/raw/SRR12714139_2.fastq.gz
SRR12714140,/AbsolutePath/data/raw/SRR12714140_1.fastq.gz,/AbsolutePath/data/raw/SRR12714140_2.fastq.gz
SRR12714141,/AbsolutePath/data/raw/SRR12714141_1.fastq.gz,/AbsolutePath/data/raw/SRR12714141_2.fastq.gz
SRR12714142,/AbsolutePath/data/raw/SRR12714142_1.fastq.gz,/AbsolutePath/data/raw/SRR12714142_2.fastq.gz
